Weather_Station,Weather_Date,Avg_Wind,Avg_Precip,Avg_Snow,Avg_Snow_Depth,Avg_Max_Temp,Avg_Min_Temp,Weather_Week,Weather_Days_Precipitated,Weather_Days_Snowed,Weather_Days_With_Snow_Accumulat,Weather_Days_With_Strong_Wind,Weather_Cold_Days,Weather_Bad_Weather_days,Weather_Bad_Weather_Week
Appleton Airport,29/07/2012,6.741428571,0,0,0,92.28571429,55,31,0,0,0,0,0,0,No
Appleton Airport,05/08/2012,5.591428571,0,0,0,97,58.33333333,32,0,0,0,0,0,0,No
Appleton Airport,12/08/2012,5.527142857,0,0,0,97.85714286,56.14285714,33,0,0,0,0,0,0,No
Appleton Airport,19/08/2012,5.528571429,0,0,0,87.42857143,51.57142857,34,0,0,0,0,0,0,No
Appleton Airport,26/08/2012,6.135714286,0,0,0,83.57142857,46.71428571,35,0,0,0,0,0,0,No
Appleton Airport,02/09/2012,5.24,0.004285714,0,0,86.14285714,46.85714286,36,1,0,0,0,0,1,No
Appleton Airport,09/09/2012,5.561428571,0.001428571,0,0,79.57142857,43.28571429,37,1,0,0,0,0,1,No
Appleton Airport,16/09/2012,4.951428571,0,0,0,86.57142857,46.85714286,38,0,0,0,0,0,0,No
Appleton Airport,23/09/2012,4.377142857,0,0,0,79.28571429,45.14285714,39,0,0,0,0,0,0,No
Appleton Airport,30/09/2012,5.752857143,0,0,0,73,34.42857143,40,0,0,0,0,0,0,No
Appleton Airport,07/10/2012,4.247142857,0.002857143,0,0,72.57142857,34.28571429,41,1,0,0,0,0,1,No
Appleton Airport,14/10/2012,7.032857143,0.032857143,0,0,65.42857143,37.42857143,42,2,0,0,0,0,2,No
Appleton Airport,21/10/2012,2.522857143,0.104285714,0,0,49.14285714,31.85714286,43,4,0,0,0,0,4,No
Appleton Airport,28/10/2012,2.682857143,0.012857143,0,0,61,43,44,4,0,0,0,0,4,No
Appleton Airport,04/11/2012,4.314285714,0.011428571,0.057142857,0,55.14285714,32.85714286,45,2,2,0,0,1,2,No
Appleton Airport,11/11/2012,1.118571429,0.035714286,0.042857143,0,43.28571429,36.14285714,46,3,1,0,0,5,5,Yes
Appleton Airport,18/11/2012,4.825714286,0.027142857,0,0,51.42857143,33.14285714,47,4,0,0,0,1,4,No
Appleton Airport,25/11/2012,3.42,0.012857143,0,0,44.28571429,29.14285714,48,3,0,0,0,5,6,Yes
Appleton Airport,02/12/2012,5.144285714,0.104285714,0,0,50.85714286,33.28571429,49,2,0,0,0,0,2,No
Appleton Airport,09/12/2012,2.207142857,0.008571429,0.171428571,0.142857143,39.14285714,25.42857143,50,2,2,1,0,6,6,Yes
Appleton Airport,16/12/2012,4.345714286,0.118571429,0.985714286,3.571428571,38.42857143,21.42857143,51,5,3,6,0,6,7,Yes
Appleton Airport,23/12/2012,2.94,0.071428571,0.771428571,2.857142857,34.71428571,25,52,4,4,5,0,7,7,Yes
Appleton Airport,30/12/2012,3.245,0,0,6,31,19,53,0,0,2,0,2,2,No
Lake City Airport,06/01/2013,7.605714286,0.035714286,,,36.57142857,23.42857143,1,2,0,0,0,5,6,Yes
Lake City Airport,13/01/2013,3.1,0,,,29.71428571,19.85714286,2,0,0,0,0,7,7,Yes
Lake City Airport,20/01/2013,2.684285714,0.001428571,,,28.14285714,23,3,1,0,0,0,7,7,Yes
Lake City Airport,27/01/2013,3.77,0,,,42.42857143,26.57142857,4,0,0,0,0,4,4,No
Lake City Airport,03/02/2013,3.388571429,0,,,43.28571429,27,5,0,0,0,0,4,4,No
Lake City Airport,10/02/2013,5.08,0,,,50,26.28571429,6,0,0,0,0,1,1,No
Lake City Airport,17/02/2013,6.644285714,0,,,48.42857143,28.28571429,7,0,0,0,0,1,1,No
Lake City Airport,24/02/2013,7.16,0.024285714,,,50.42857143,32.42857143,8,2,0,0,0,0,2,No
Lake City Airport,03/03/2013,6.935714286,0.072857143,,,51.14285714,30.14285714,9,2,0,0,0,1,2,No
Lake City Airport,10/03/2013,5.974285714,0,,,59.14285714,38.28571429,10,0,0,0,0,0,0,No
Lake City Airport,17/03/2013,9.78,0.008571429,,,53.42857143,30.28571429,11,2,0,0,0,0,2,No
Lake City Airport,24/03/2013,4.858571429,0,,,61.85714286,30.57142857,12,0,0,0,0,0,0,No
Lake City Airport,01/04/2012,7.252857143,0.022857143,,,55,30,14,1,0,0,0,0,1,No
Lake City Airport,08/04/2012,7.922857143,0,,,66.42857143,36,15,0,0,0,0,0,0,No
Lake City Airport,15/04/2012,6.615714286,0.034285714,,,63.42857143,39.28571429,16,2,0,0,0,0,2,No
Lake City Airport,22/04/2012,7.894285714,0.057142857,,,74.14285714,46.14285714,17,1,0,0,0,0,1,No
Lake City Airport,29/04/2012,9.331428571,0.011428571,,,63.85714286,42.42857143,18,1,0,0,0,0,1,No
Lake City Airport,06/05/2012,6.101428571,0,,,70.57142857,36.42857143,19,0,0,0,0,0,0,No
Lake City Airport,13/05/2012,7.252857143,0,,,81.28571429,46.85714286,20,0,0,0,0,0,0,No
Lake City Airport,20/05/2012,10.57714286,0.011428571,,,70.42857143,48.42857143,21,1,0,0,0,0,1,No
Lake City Airport,27/05/2012,8.405714286,0.012857143,,,77.71428571,53,22,2,0,0,0,0,2,No
Lake City Airport,03/06/2012,8.691428571,0.12,,,65.57142857,47.57142857,23,4,0,0,0,0,4,No
Lake City Airport,10/06/2012,7.702857143,0,,,80.57142857,50.14285714,24,0,0,0,0,0,0,No
Lake City Airport,17/06/2012,9.298571429,0.02,,,81,53.14285714,25,2,0,0,0,0,2,No
Lake City Airport,24/06/2012,7.668571429,0.134285714,,,77.42857143,53.85714286,26,3,0,0,0,0,3,No
Lake City Airport,01/07/2012,6.742857143,0,,,84.71428571,51.42857143,27,0,0,0,0,0,0,No
Lake City Airport,08/07/2012,6.005714286,0.017142857,,,97.57142857,65,28,2,0,0,0,0,2,No
Lake City Airport,15/07/2012,6.391428571,0.08,,,89.57142857,61.28571429,29,3,0,0,0,0,3,No
Lake City Airport,22/07/2012,6.678571429,0,,,88.85714286,57,30,0,0,0,0,0,0,No
Lake City Airport,29/07/2012,5.88,0,0,0,90.57142857,56.42857143,31,0,0,0,0,0,0,No
Lake City Airport,05/08/2012,5.497142857,0,,,96.57142857,58.28571429,32,0,0,0,0,0,0,No
Lake City Airport,12/08/2012,7.574285714,0,,,97.28571429,60.71428571,33,0,0,0,0,0,0,No
Lake City Airport,19/08/2012,6.68,0,,,86.57142857,55,34,0,0,0,0,0,0,No
Lake City Airport,26/08/2012,6.071428571,0,,,83.14285714,50.42857143,35,0,0,0,0,0,0,No
Lake City Airport,02/09/2012,5.081428571,0,,,85.28571429,48.57142857,36,0,0,0,0,0,0,No
Lake City Airport,09/09/2012,7.062857143,0,,,79.57142857,46,37,0,0,0,0,0,0,No
Lake City Airport,16/09/2012,4.344285714,0,,,82.85714286,46.42857143,38,0,0,0,0,0,0,No
Lake City Airport,23/09/2012,4.088571429,0,,,78,44.57142857,39,0,0,0,0,0,0,No
Lake City Airport,30/09/2012,6.968571429,0,,,71.57142857,38.14285714,40,0,0,0,0,0,0,No
Lake City Airport,07/10/2012,4.345714286,0.008571429,,,70.28571429,36,41,1,0,0,0,0,1,No
Lake City Airport,14/10/2012,9.937142857,0.028571429,,,63.42857143,43.28571429,42,3,0,0,0,0,3,No
Lake City Airport,21/10/2012,4.378571429,0.09,,,47.42857143,31.42857143,43,3,0,0,0,2,4,No
Lake City Airport,28/10/2012,5.655714286,0.03,,,58,44.42857143,44,6,0,0,0,0,6,Yes
Lake City Airport,04/11/2012,5.274285714,0.002857143,,,53,34.28571429,45,2,0,0,0,1,2,No
Lake City Airport,11/11/2012,2.94,0.082857143,,,39.57142857,32.57142857,46,3,0,0,0,6,7,Yes
Lake City Airport,18/11/2012,9.14,0.052857143,,,49.14285714,35.57142857,47,5,0,0,0,2,6,Yes
Lake City Airport,25/11/2012,4.314285714,0.015714286,,,40.42857143,29.28571429,48,3,0,0,0,5,6,Yes
Lake City Airport,02/12/2012,8.501428571,0.085714286,,,48.14285714,36,49,2,0,0,0,2,4,No
Lake City Airport,09/12/2012,2.875714286,0.054285714,,,34.28571429,29.71428571,50,4,0,0,0,7,7,Yes
Lake City Airport,16/12/2012,8.787142857,0.051428571,,,41.57142857,26,51,4,0,0,0,5,5,Yes
Lake City Airport,23/12/2012,4.091428571,0.072857143,,,35.57142857,26.42857143,52,5,0,0,0,7,7,Yes
Lake City Airport,30/12/2012,3.245,0,,,28,21,53,0,0,0,0,2,2,No
North Town Airport,06/01/2013,5.56,0.047142857,,,43.71428571,25.85714286,1,2,0,0,0,4,6,Yes
North Town Airport,13/01/2013,1.917142857,0,,,33,20,2,0,0,0,0,7,7,Yes
North Town Airport,20/01/2013,2.652857143,0.025714286,,,32.14285714,26.14285714,3,3,0,0,0,7,7,Yes
North Town Airport,27/01/2013,9.457142857,0,,,50.42857143,34.28571429,4,0,0,0,0,1,1,No
North Town Airport,03/02/2013,3.77,0,,,49.57142857,25.57142857,5,0,0,0,0,1,1,No
North Town Airport,10/02/2013,7.702857143,0,,,54.28571429,27.28571429,6,0,0,0,0,0,0,No
North Town Airport,17/02/2013,8.341428571,0.007142857,,,49.71428571,26.57142857,7,1,0,0,0,0,1,No
North Town Airport,24/02/2013,7.255714286,0.024285714,,,55.28571429,32.85714286,8,2,0,0,0,0,2,No
North Town Airport,03/03/2013,5.495714286,0.035714286,,,53.85714286,26.14285714,9,2,0,0,0,0,2,No
North Town Airport,10/03/2013,7.318571429,0.008571429,,,62.85714286,38.57142857,10,1,0,0,0,0,1,No
North Town Airport,17/03/2013,12.59142857,0.017142857,,,53.42857143,29.28571429,11,2,0,0,0,0,2,No
North Town Airport,24/03/2013,3.74,0.02,,,63.71428571,36.85714286,12,2,0,0,0,0,2,No
North Town Airport,01/04/2012,10.57714286,0.018571429,,,59.71428571,32.42857143,14,3,0,0,0,0,3,No
North Town Airport,08/04/2012,5.817142857,0.004285714,,,67,35,15,2,0,0,0,0,2,No
North Town Airport,15/04/2012,5.528571429,0.062857143,,,66.14285714,39.14285714,16,4,0,0,0,0,4,No
North Town Airport,22/04/2012,7.925714286,0.168571429,,,72.71428571,44.85714286,17,2,0,0,0,0,2,No
North Town Airport,29/04/2012,10.92857143,0.03,,,65,41.28571429,18,2,0,0,0,0,2,No
North Town Airport,06/05/2012,5.784285714,0,,,72.28571429,34.57142857,19,0,0,0,0,0,0,No
North Town Airport,13/05/2012,6.231428571,0,,,82,44.85714286,20,0,0,0,0,0,0,No
North Town Airport,20/05/2012,7.957142857,0.058571429,,,69.71428571,47.14285714,21,4,0,0,0,0,4,No
North Town Airport,27/05/2012,10.38571429,0.032857143,,,78.85714286,54.85714286,22,2,0,0,0,0,2,No
North Town Airport,03/06/2012,10.99285714,0.185714286,,,66.42857143,47.85714286,23,4,0,0,0,0,4,No
North Town Airport,10/06/2012,9.042857143,0,,,81.71428571,49.42857143,24,0,0,0,0,0,0,No
North Town Airport,17/06/2012,11.15,0.035714286,,,78.85714286,51.57142857,25,2,0,0,0,0,2,No
North Town Airport,24/06/2012,7.414285714,0.03,,,80.57142857,53,26,2,0,0,0,0,2,No
North Town Airport,01/07/2012,7.445714286,0,,,87.14285714,48.42857143,27,0,0,0,0,0,0,No
North Town Airport,08/07/2012,6.36,0.032857143,,,97.71428571,62.42857143,28,1,0,0,0,0,1,No
North Town Airport,15/07/2012,8.084285714,0.031428571,,,88.14285714,60.57142857,29,3,0,0,0,0,3,No
North Town Airport,22/07/2012,7.062857143,0,,,90.71428571,53.28571429,30,0,0,0,0,0,0,No
North Town Airport,29/07/2012,7.222857143,0,,,91.28571429,56.57142857,31,0,0,0,0,0,0,No
North Town Airport,05/08/2012,5.721428571,0,,,97,57.85714286,32,0,0,0,0,0,0,No
North Town Airport,19/08/2012,8.082857143,0.004285714,,,87.71428571,53.42857143,34,1,0,0,0,0,1,No
North Town Airport,26/08/2012,6.774285714,0,,,84.42857143,49.14285714,35,0,0,0,0,0,0,No
North Town Airport,02/09/2012,4.728571429,0,,,86.85714286,45.85714286,36,0,0,0,0,0,0,No
North Town Airport,09/09/2012,6.775714286,0,,,80,43.14285714,37,0,0,0,0,0,0,No
North Town Airport,16/09/2012,3.674285714,0,,,85,43.85714286,38,0,0,0,0,0,0,No
North Town Airport,23/09/2012,3.994285714,0.004285714,,,79.28571429,45.57142857,39,1,0,0,0,0,1,No
North Town Airport,30/09/2012,4.317142857,0,,,71.85714286,33.42857143,40,0,0,0,0,0,0,No
North Town Airport,07/10/2012,4.475714286,0.041428571,,,72.42857143,34.85714286,41,2,0,0,0,0,2,No
North Town Airport,14/10/2012,7.638571429,0.082857143,,,65.42857143,43.71428571,42,4,0,0,0,0,4,No
North Town Airport,21/10/2012,3.387142857,0.07,,,51.42857143,32.85714286,43,4,0,0,0,0,4,No
North Town Airport,28/10/2012,4.122857143,0.041428571,,,62.28571429,44.57142857,44,5,0,0,0,0,5,Yes
North Town Airport,04/11/2012,4.73,0.014285714,,,55.14285714,35.57142857,45,3,0,0,0,1,3,No
North Town Airport,11/11/2012,3.131428571,0.061428571,,,46.42857143,36,46,5,0,0,0,2,7,Yes
North Town Airport,18/11/2012,6.617142857,0.104285714,,,54.85714286,36.71428571,47,6,0,0,0,1,6,Yes
North Town Airport,25/11/2012,3.482857143,0.042857143,,,42.28571429,31.57142857,48,4,0,0,0,4,6,Yes
North Town Airport,02/12/2012,7.925714286,0.08,,,53.57142857,36.14285714,49,3,0,0,0,0,3,No
North Town Airport,09/12/2012,3.962857143,0.031428571,,,42.57142857,28.85714286,50,3,0,0,0,4,5,Yes
North Town Airport,16/12/2012,10.60857143,0.028571429,,,49.85714286,30.28571429,51,4,0,0,0,0,4,No
North Town Airport,23/12/2012,4.665714286,0.072857143,,,38.28571429,26,52,4,0,0,0,5,6,Yes
North Town Airport,30/12/2012,2.235,0,,,32,25.5,53,0,0,0,0,2,2,No
Rail City Airport,06/01/2013,6.517142857,0.037142857,0,0,43.42857143,27.28571429,1,2,0,0,0,4,6,Yes
Rail City Airport,13/01/2013,2.171428571,0,0,0,32.42857143,22.71428571,2,0,0,0,0,7,7,Yes
Rail City Airport,20/01/2013,3.578571429,0.012857143,0,0,32,26.42857143,3,3,0,0,0,7,7,Yes
Rail City Airport,27/01/2013,5.815714286,0,0,0,50.14285714,32.14285714,4,0,0,0,0,2,2,No
Rail City Airport,03/02/2013,4.187142857,0,0,0,48.85714286,28,5,0,0,0,0,1,1,No
Rail City Airport,10/02/2013,4.794285714,0,0,0,54.42857143,25,6,0,0,0,0,0,0,No
Rail City Airport,17/02/2013,8.18,0.001428571,0,0,50.57142857,26.71428571,7,1,0,0,0,0,1,No
Rail City Airport,24/02/2013,8.148571429,0.015714286,0,0,55.28571429,34.57142857,8,2,0,0,0,0,2,No
Rail City Airport,03/03/2013,6.87,0.02,0,0,53.85714286,26.14285714,9,1,0,0,0,0,1,No
Rail City Airport,10/03/2013,6.901428571,0,0,0,62.85714286,38.42857143,10,0,0,0,0,0,0,No
Rail City Airport,17/03/2013,11.05571429,0.012857143,0,0,55.42857143,30,11,2,0,0,0,0,2,No
Rail City Airport,24/03/2013,3.29,0,0,0,64.71428571,35.28571429,12,0,0,0,0,0,0,No
Rail City Airport,01/04/2012,7.861428571,0.018571429,0,0,59.71428571,33.28571429,14,3,0,0,0,0,3,No
Rail City Airport,08/04/2012,6.68,0.001428571,0,0,68.57142857,38,15,1,0,0,0,0,1,No
Rail City Airport,15/04/2012,6.39,0.024285714,0,0,66.85714286,40.14285714,16,4,0,0,0,0,4,No
Rail City Airport,22/04/2012,7.767142857,0.072857143,0,0,75.28571429,47.42857143,17,3,0,0,0,0,3,No
Rail City Airport,29/04/2012,11.18285714,0.014285714,0,0,66.57142857,42.85714286,18,3,0,0,0,0,3,No
Rail City Airport,06/05/2012,4.728571429,0,0,0,74,35.42857143,19,0,0,0,0,0,0,No
Rail City Airport,13/05/2012,4.922857143,0,0,0,83,43.42857143,20,0,0,0,0,0,0,No
Rail City Airport,20/05/2012,9.204285714,0.028571429,0,0,72.42857143,49.71428571,21,1,0,0,0,0,1,No
Rail City Airport,27/05/2012,7.732857143,0.044285714,0,0,80.28571429,55.28571429,22,3,0,0,0,0,3,No
Rail City Airport,03/06/2012,9.777142857,0.117142857,0,0,67.57142857,47.57142857,23,3,0,0,0,0,3,No
Rail City Airport,10/06/2012,6.805714286,0,0,0,82.42857143,49.28571429,24,0,0,0,0,0,0,No
Rail City Airport,17/06/2012,8.117142857,0.035714286,0,0,81.14285714,52.42857143,25,3,0,0,0,0,3,No
Rail City Airport,24/06/2012,6.36,0.058571429,0,0,80.57142857,54.85714286,26,3,0,0,0,0,3,No
Rail City Airport,01/07/2012,7.158571429,0,0,0,88.71428571,53.42857143,27,0,0,0,0,0,0,No
Rail City Airport,08/07/2012,4.954285714,0.012857143,0,0,99.14285714,63.42857143,28,2,0,0,0,0,2,No
Rail City Airport,15/07/2012,7.54,0.072857143,0,0,90.57142857,64.57142857,29,2,0,0,0,0,2,No
Rail City Airport,22/07/2012,5.56,0,0,0,91.42857143,56.28571429,30,0,0,0,0,0,0,No
Rail City Airport,29/07/2012,5.53,0,0,0,92.28571429,58.14285714,31,0,0,0,0,0,0,No
Rail City Airport,05/08/2012,5.208571429,0,0,0,98.14285714,59.57142857,32,0,0,0,0,0,0,No
Rail City Airport,12/08/2012,4.888571429,0,0,0,98.28571429,55.57142857,33,0,0,0,0,0,0,No
Rail City Airport,19/08/2012,5.72,0.022857143,0,0,88.42857143,55.71428571,34,1,0,0,0,0,1,No
Rail City Airport,26/08/2012,4.442857143,0.005714286,0,0,84.71428571,48.28571429,35,1,0,0,0,0,1,No
Rail City Airport,02/09/2012,4.025714286,0,0,0,85.85714286,46.71428571,36,0,0,0,0,0,0,No
Rail City Airport,09/09/2012,5.274285714,0,0,0,81.28571429,42.85714286,37,0,0,0,0,0,0,No
Rail City Airport,16/09/2012,2.94,0,0,0,85,46.14285714,38,0,0,0,0,0,0,No
Rail City Airport,23/09/2012,2.332857143,0,0,0,79.71428571,47.14285714,39,0,0,0,0,0,0,No
Rail City Airport,30/09/2012,4.568571429,0,0,0,74,35.85714286,40,0,0,0,0,0,0,No
Rail City Airport,07/10/2012,3.93,0.017142857,0,0,72,36.14285714,41,1,0,0,0,0,1,No
Rail City Airport,14/10/2012,9.557142857,0.038571429,0,0,67,47,42,2,0,0,0,0,2,No
Rail City Airport,21/10/2012,3.867142857,0.061428571,0,0,50.85714286,33.71428571,43,3,0,0,0,0,3,No
Rail City Airport,28/10/2012,5.017142857,0.044285714,0,0,63.28571429,45.14285714,44,5,0,0,0,0,5,Yes
Rail City Airport,04/11/2012,4.025714286,0.002857143,0,0,56.42857143,35.57142857,45,1,0,0,0,2,3,No
Rail City Airport,11/11/2012,3.961428571,0.04,0,0,44.14285714,35.14285714,46,3,0,0,0,3,5,Yes
Rail City Airport,18/11/2012,8.787142857,0.092857143,0,0,55.14285714,39.42857143,47,4,0,0,0,0,4,No
Rail City Airport,25/11/2012,3.547142857,0.011428571,0,0,42.57142857,30.71428571,48,4,0,0,0,4,6,Yes
Rail City Airport,02/12/2012,10.00285714,0.037142857,0,0,53.71428571,38,49,2,0,0,0,1,3,No
Rail City Airport,09/12/2012,2.651428571,0.024285714,0,0,40.57142857,31.28571429,50,3,0,0,0,5,6,Yes
Rail City Airport,16/12/2012,12.94142857,0.025714286,0,0,47.85714286,32.71428571,51,4,0,0,1,3,6,Yes
Rail City Airport,23/12/2012,4.411428571,0.084285714,0.116666667,0,38,29.14285714,52,5,1,0,0,6,7,Yes
Rail City Airport,30/12/2012,2.91,0,0,0,34,22.5,53,0,0,0,0,2,2,No
River City Airport,06/01/2013,9.874285714,0.101428571,0.1,0,43.28571429,30.14285714,1,3,1,0,0,4,6,Yes
River City Airport,13/01/2013,1.981428571,0,0,0,31.57142857,23.42857143,2,0,0,0,0,7,7,Yes
River City Airport,20/01/2013,2.971428571,0.07,0,0,33.42857143,27,3,4,0,0,0,7,7,Yes
River City Airport,27/01/2013,9.552857143,0.018571429,0,0,46.85714286,36.57142857,4,4,0,0,0,3,5,Yes
River City Airport,03/02/2013,6.358571429,0.004285714,0,0,49,33.85714286,5,2,0,0,0,1,3,No
River City Airport,10/02/2013,8.565714286,0.005714286,0,0,51.71428571,34.28571429,6,1,0,0,0,0,1,No
River City Airport,17/02/2013,9.331428571,0.06,0,0,45.57142857,33.57142857,7,3,0,0,0,2,4,No
River City Airport,24/02/2013,9.202857143,0.064285714,0,0,53.71428571,38.42857143,8,2,0,0,0,0,2,No
River City Airport,03/03/2013,6.231428571,0.008571429,0,0,50.42857143,32,9,1,0,0,0,1,2,No
River City Airport,10/03/2013,9.714285714,0.02,0,0,61.42857143,45.57142857,10,2,0,0,0,0,2,No
River City Airport,17/03/2013,11.82142857,0.042857143,0,0,52.71428571,33.71428571,11,1,0,0,0,0,1,No
River City Airport,24/03/2013,4.408571429,0.037142857,0,0,62.28571429,41.57142857,12,2,0,0,0,0,2,No
River City Airport,01/04/2012,9.844285714,0.138571429,0,0,56.85714286,35.14285714,14,5,0,0,0,0,5,Yes
River City Airport,08/04/2012,6.422857143,0.011428571,0,0,64.28571429,41.28571429,15,2,0,0,0,0,2,No
River City Airport,15/04/2012,6.935714286,0.127142857,0,0,63.57142857,43.85714286,16,4,0,0,0,0,4,No
River City Airport,22/04/2012,8.115714286,0.188571429,0,0,70.42857143,49.14285714,17,4,0,0,0,0,4,No
River City Airport,29/04/2012,9.905714286,0.134285714,0,0,61.28571429,43.42857143,18,3,0,0,0,0,3,No
River City Airport,06/05/2012,5.848571429,0,0,0,68.71428571,39.42857143,19,0,0,0,0,0,0,No
River City Airport,13/05/2012,6.807142857,0,0,0,78.28571429,51.14285714,20,0,0,0,0,0,0,No
River City Airport,20/05/2012,8.341428571,0.051428571,0,0,66.85714286,48.57142857,21,3,0,0,0,0,3,No
River City Airport,27/05/2012,9.204285714,0.06,0,0,74.85714286,55.28571429,22,3,0,0,0,0,3,No
River City Airport,03/06/2012,9.428571429,0.214285714,0,0,62,48.71428571,23,6,0,0,0,0,6,Yes
River City Airport,10/06/2012,7.988571429,0,0,0,77.57142857,51.57142857,24,0,0,0,0,0,0,No
River City Airport,17/06/2012,9.425714286,0.081428571,0,0,78,53.28571429,25,4,0,0,0,0,4,No
River City Airport,24/06/2012,7.415714286,0.145714286,0,0,78.42857143,56,26,2,0,0,0,0,2,No
River City Airport,01/07/2012,7.318571429,0,0,0,85.28571429,55.85714286,27,0,0,0,0,0,0,No
River City Airport,08/07/2012,7.158571429,0.031428571,0,0,96.28571429,66.42857143,28,3,0,0,0,0,3,No
River City Airport,15/07/2012,7.445714286,0.04,0,0,88.57142857,61.57142857,29,3,0,0,0,0,3,No
River City Airport,22/07/2012,7.668571429,0,0,0,89.28571429,59.57142857,30,0,0,0,0,0,0,No
River City Airport,29/07/2012,7.511428571,0,0,0,90.14285714,60,31,0,0,0,0,0,0,No
River City Airport,05/08/2012,6.711428571,0,0,0,96.57142857,64.57142857,32,0,0,0,0,0,0,No
River City Airport,12/08/2012,6.52,0,0,0,97.14285714,64.57142857,33,0,0,0,0,0,0,No
River City Airport,19/08/2012,7.795714286,0.001428571,0,0,86.57142857,58.42857143,34,1,0,0,0,0,1,No
River City Airport,26/08/2012,6.998571429,0,0,0,83,56.42857143,35,0,0,0,0,0,0,No
River City Airport,02/09/2012,5.368571429,0,0,0,85.14285714,53.85714286,36,0,0,0,0,0,0,No
River City Airport,09/09/2012,7.35,0,0,0,80.14285714,50.57142857,37,0,0,0,0,0,0,No
River City Airport,16/09/2012,4.57,0,0,0,82.28571429,54.57142857,38,0,0,0,0,0,0,No
River City Airport,23/09/2012,5.558571429,0,0,0,78,54.28571429,39,0,0,0,0,0,0,No
River City Airport,30/09/2012,5.208571429,0,0,0,69.57142857,40.28571429,40,0,0,0,0,0,0,No
River City Airport,07/10/2012,5.752857143,0.06,0,0,72.14285714,45,41,2,0,0,0,0,2,No
River City Airport,14/10/2012,10.00142857,0.124285714,0,0,65.42857143,47.71428571,42,4,0,0,0,0,4,No
